fid,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,x,y
4028,0.0474,0.0011,0.0072,0.8372,0.0733,0.0203,0.0075,0,0.006,0,0.603361345,0.325210084,0.057142857,0,0,0,0,0,0,0.014285714,0,0,0,0,0,0,0,0.507738383,1.7873601,0,0.256542632,4.769801714,0.112051346,0.72071426,0.000477533,0.001576289,0.000494424,0.001234786,20.69178082,5.869565218,14.03508772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5900664,32.63522327
4029,0.0519,0.0011,0.0088,0.6962,0.2042,0.0263,0.0056,0.0001,0.006,28,0.224913495,0.643598616,0,0.030276817,0,0,0,0.001730104,0,0.087370242,0.012110727,0,0,0,0,0,0,0.462393616,5.2966647,127,0.272101877,5.217110689,0.110258525,0.881171788,0.000450339,0.001244472,0.000720149,0.00116103,22.8627451,6.043478262,16.14285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5900664,32.60522327
4030,0.0805,0.0012,0.0048,0.8466,0.0439,0.0151,0.0011,0.0007,0.006,4,0.28487395,0.657983193,0.057142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241092049,2.3795757,1,0.256553199,8.098174908,0.123704686,0.484061816,0.000394785,0.0019487,0.000823224,0.00091604,23.14659686,5.875000001,11.25531915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5900664,32.57522327
4031,0.1204,0.0016,0.0071,0.7794,0.0523,0.0226,0.0105,0.0001,0.006,1,0.267301038,0.732698962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38644054,0,0,0,12.11409516,0.157768296,0.712646563,0.000377284,0.002774594,0.000596052,0.000468418,25.07725322,5.148148149,13.57894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5900664,32.54522327
4032,0.1379,0.0022,0.0119,0.6898,0.1161,0.025,0.0109,0.0002,0.006,0,0.187716263,0.782871972,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288298801,4.548308,0,0.264098881,13.8728531,0.219620639,1.199397612,0.000406078,0.002216772,0.000546487,0.00078908,25.2248996,5.375000001,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5900664,32.51522327
4033,0.1284,0.0003,0.0184,0.6547,0.1453,0.0281,0.0185,0.0004,0.006,18,0.114285714,0.828571429,0.057142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.760244758,4.468741,2,0.256553198,12.91458998,0.034063609,1.851984653,0.000399534,0.002371097,0.000473883,0.000486282,23.87551867,4.538461539,21.12087912,2,25.82917996,0.068127218,3.703969306,0.000799068,0.000799068,0.000947766,47.75103734,9.076923078,42.24175824,0,0,0,0,0,0,0,0,0,0,119.5900664,32.48522327
4034,0.1551,0.0063,0.0173,0.5128,0.1876,0.0748,0.04,0,0.006,33,0.351211073,0.294982699,0,0,0.01384083,0,0,0.049307958,0,0.26384083,0.026816609,0,0,0,0,0,0,3.781893477,0,1033,0,15.60740794,0.632866005,1.740829718,0.000415627,0.001228278,0.000427105,0.000327236,19.56818182,6.555555556,20.69662922,4,62.42963176,2.53146402,6.963318872,0.001662508,0.001662508,0.00170842,78.27272728,26.22222222,82.78651688,0.475561,0.568854,2,1,3,0,1,1,1,0,119.5900664,32.45522327
4035,0.0408,0,0.008,0.0798,0.7708,0.0605,0.0341,0,0.006,1169,0.004201681,0,0.057142857,0.010084034,0.016806723,0,0,0.577310924,0,0.020168067,0.157142857,0,0.107563025,0.049579832,0,0,0,3.838782925,0,7938,0,4.101079279,0.001792822,0.808562516,0.000557769,0.000370385,0.000980053,0.000629428,19.56617647,1.333333333,11.21311476,11,45.11187207,0.019721042,8.894187676,0.006135459,0.006135459,0.010780583,215.2279412,14.66666666,123.3442624,1.559647,0.230263,16,0,11,5,1,0,1,1,119.5900664,32.42522327
4036,0.062,0.0002,0.0087,0.3202,0.4859,0.1066,0.0104,0,0.006,76,0.324394464,0,0,0.080449827,0,0,0,0.293252595,0,0.115051903,0.07266436,0,0.057093426,0.057093426,0,0,0,1.893963407,17.534655,938,0.264098881,6.2417082,0.017928215,0.876689734,0.000483225,0.005591251,0.000621777,0.000715612,19.59281437,2.555555556,14.88888889,5,31.208541,0.089641075,4.38344867,0.002416125,0.002416125,0.003108885,97.96407185,12.77777778,74.44444445,1.256492,-0.720448,12,0,0,12,1,0,0,1,119.5900664,32.39522327
4037,0.0782,0.0004,0.0063,0.5416,0.0481,0.067,0.2551,0.0003,0.003,1,0.506920415,0.242214533,0.029411765,0,0.193771626,0,0,0.001730104,0,0.025951557,0,0,0,0,0,0,0,3.997426021,0,0,0,7.842697838,0.038545663,0.633762415,0.000445705,0.007967871,0.001109114,0.000969911,19.27659575,2.785714286,9.518518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5900664,32.36522327
